GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_902709485.2	20540968	N/A	N/A	
GCA_902709445.2	20541028	N/A	N/A	
GCA_902709535.2	20541138	N/A	N/A	
GCA_902709425.2	20541238	N/A	N/A	
GCA_902709545.2	20541308	N/A	N/A	
GCA_902709415.2	20541398	N/A	N/A	
GCA_902709465.2	20541468	N/A	N/A	
GCA_902709455.2	20541538	N/A	N/A	
GCA_902709495.2	20541608	N/A	N/A	
GCA_902709515.2	20541658	N/A	N/A	
GCA_902709385.2	20541768	N/A	N/A	
GCA_902709355.2	20541848	N/A	N/A	
GCA_902709475.2	20541908	N/A	N/A	
GCA_902709375.2	20541988	N/A	N/A	
GCA_902709365.2	20542078	N/A	N/A	
GCA_902709525.2	20542148	N/A	N/A	
GCA_902709435.2	20542248	N/A	N/A	
GCA_902709615.2	20542328	N/A	N/A	
GCA_902709665.2	20542388	N/A	N/A	
GCA_902709625.2	20542488	N/A	N/A	
GCA_902709685.2	20542588	N/A	N/A	
GCA_902709745.2	20542688	N/A	N/A	
GCA_902709655.2	20542748	N/A	N/A	
GCA_902709705.2	20542868	N/A	N/A	
GCA_902709575.2	20542948	N/A	N/A	
GCA_902709725.2	20543008	N/A	N/A	
GCA_902709715.2	20543068	N/A	N/A	
GCA_902709595.2	20543148	N/A	N/A	
GCA_902709605.2	20543208	N/A	N/A	
GCA_902709695.2	20543288	N/A	N/A	
GCA_902709635.2	20543388	N/A	N/A	
GCA_902709585.2	20543478	GCF_902709585.1	22472558	
GCA_902709675.2	20543548	N/A	N/A	
GCA_902709565.2	20543608	N/A	N/A	
GCA_902709735.2	20543688	N/A	N/A	
GCA_902709555.2	20543768	N/A	N/A	
GCA_902709645.2	20543828	N/A	N/A	
GCA_902709805.2	20543878	N/A	N/A	
GCA_902709825.2	20543948	N/A	N/A	
GCA_902709835.2	20544058	N/A	N/A	
GCA_902709875.2	20544088	N/A	N/A	
GCA_902709845.2	20544208	N/A	N/A	
GCA_902709915.2	20544268	N/A	N/A	
GCA_902709755.2	20544348	N/A	N/A	
GCA_902709895.2	20544468	N/A	N/A	
GCA_902709925.2	20544568	N/A	N/A	
GCA_902709815.2	20544628	N/A	N/A	
GCA_902709775.2	20544728	N/A	N/A	
GCA_902709785.2	20544788	N/A	N/A	
GCA_902709855.2	20544888	N/A	N/A	
GCA_902709765.2	20544978	N/A	N/A	
GCA_902709885.2	20545058	N/A	N/A	
GCA_902709905.2	20545148	N/A	N/A	
GCA_902709795.2	20545228	N/A	N/A	
GCA_902709865.2	20545308	N/A	N/A	
GCA_902710035.2	20545418	N/A	N/A	
GCA_902709985.2	20545498	N/A	N/A	
GCA_902710025.2	20545588	N/A	N/A	
GCA_902709995.2	20545708	N/A	N/A	
GCA_902710115.2	20545818	N/A	N/A	
GCA_902709975.2	20545908	N/A	N/A	
GCA_902710105.2	20545998	N/A	N/A	
GCA_902710065.2	20546048	N/A	N/A	
GCA_902709935.2	20546148	N/A	N/A	
GCA_902710055.2	20546248	N/A	N/A	
GCA_902710075.2	20546328	N/A	N/A	
GCA_902710125.2	20546388	N/A	N/A	
GCA_902709945.2	20546488	N/A	N/A	
GCA_902710015.2	20546508	N/A	N/A	
GCA_902711075.2	20546608	N/A	N/A	
GCA_902709965.2	20546688	N/A	N/A	
GCA_902709955.2	20546748	N/A	N/A	
GCA_902710005.2	20546828	N/A	N/A	
GCA_902710045.2	20546918	N/A	N/A	
GCA_902710095.2	20547008	N/A	N/A	
GCA_902710145.2	20547118	N/A	N/A	
GCA_902710135.2	20547198	N/A	N/A	
GCA_902710275.2	20547288	N/A	N/A	
GCA_902710285.2	20547448	N/A	N/A	
GCA_902710235.2	20547508	N/A	N/A	
GCA_902710175.2	20547588	N/A	N/A	
GCA_902710245.2	20547688	N/A	N/A	
GCA_902710205.2	20547798	N/A	N/A	
GCA_902710185.2	20547878	N/A	N/A	
GCA_902710155.2	20547968	N/A	N/A	
GCA_902710165.2	20548048	N/A	N/A	
GCA_902710255.2	20548128	N/A	N/A	
GCA_902710225.2	20548248	N/A	N/A	
GCA_902710195.2	20548338	N/A	N/A	
GCA_902710215.2	20548388	N/A	N/A	
GCA_902710265.2	20548528	N/A	N/A	
GCA_902711135.2	20548668	N/A	N/A	
GCA_902710325.2	20548708	N/A	N/A	
GCA_902710335.2	20548748	N/A	N/A	
GCA_902710315.2	20548828	N/A	N/A	
GCA_902710305.2	20548988	N/A	N/A	
GCA_902710295.2	20549068	N/A	N/A	
GCA_902710345.2	20549148	N/A	N/A	
GCA_902710365.2	20549238	N/A	N/A	
GCA_902710385.2	20549338	N/A	N/A	
GCA_902710395.2	20549478	N/A	N/A	
GCA_902710375.2	20549548	N/A	N/A	
GCA_902710355.2	20549648	N/A	N/A	
GCA_902711205.2	20549698	N/A	N/A	
GCA_902710405.2	20549728	N/A	N/A	
GCA_902710415.2	20549888	N/A	N/A	
GCA_902710495.2	20549928	N/A	N/A	
GCA_902710445.2	20549968	N/A	N/A	
GCA_902710515.2	20550008	N/A	N/A	
GCA_902710545.2	20550088	N/A	N/A	
GCA_902710485.2	20550208	N/A	N/A	
GCA_902710465.2	20550248	N/A	N/A	
GCA_902710535.2	20550388	N/A	N/A	
GCA_902710525.2	20550448	N/A	N/A	
GCA_902711175.2	20550548	N/A	N/A	
GCA_902711115.2	20550648	N/A	N/A	
GCA_902710455.2	20550718	N/A	N/A	
GCA_902710475.2	20550788	N/A	N/A	
GCA_902710505.2	20550908	N/A	N/A	
GCA_902710435.2	20550968	N/A	N/A	
GCA_902710425.2	20551048	N/A	N/A	
GCA_902710575.2	20551168	N/A	N/A	
GCA_902710675.2	20551228	N/A	N/A	
GCA_902710565.2	20551308	N/A	N/A	
GCA_902710665.2	20551428	N/A	N/A	
GCA_902710615.2	20551538	N/A	N/A	
GCA_902710555.2	20551618	N/A	N/A	
GCA_902710605.2	20551688	N/A	N/A	
GCA_902710645.2	20551788	N/A	N/A	
GCA_902710635.2	20551828	N/A	N/A	
GCA_902710625.2	20551968	N/A	N/A	
GCA_902711265.2	20552048	N/A	N/A	
GCA_902710585.2	20552138	N/A	N/A	
GCA_902710595.2	20552248	N/A	N/A	
GCA_902710685.2	20552308	N/A	N/A	
GCA_902710655.2	20552458	N/A	N/A	
GCA_902710735.2	20552528	N/A	N/A	
GCA_902710705.2	20552648	N/A	N/A	
GCA_902710715.2	20552758	N/A	N/A	
GCA_902710745.2	20552808	N/A	N/A	
GCA_902710695.2	20552928	N/A	N/A	
GCA_902710725.2	20553048	N/A	N/A	
GCA_902710755.2	20553158	N/A	N/A	
GCA_902710805.2	20553288	N/A	N/A	
GCA_902710775.2	20553368	N/A	N/A	
GCA_902710785.2	20553458	N/A	N/A	
GCA_902710765.2	20553568	N/A	N/A	
GCA_902710795.2	20553668	N/A	N/A	
GCA_902710855.2	20553788	N/A	N/A	
GCA_902710915.2	20553858	N/A	N/A	
GCA_902711255.2	20553948	N/A	N/A	
GCA_902710945.2	20554088	N/A	N/A	
GCA_902710925.2	20554218	N/A	N/A	
GCA_902710865.2	20554308	N/A	N/A	
GCA_902710815.2	20554438	N/A	N/A	
GCA_902710885.2	20554548	N/A	N/A	
GCA_902710875.2	20554628	N/A	N/A	
GCA_902710935.2	20554748	N/A	N/A	
GCA_902710835.2	20554868	N/A	N/A	
GCA_902710825.2	20554988	N/A	N/A	
GCA_902710845.2	20555108	N/A	N/A	
GCA_902710905.2	20555248	N/A	N/A	
GCA_902710895.2	20555288	N/A	N/A	
GCA_902711035.2	20555408	N/A	N/A	
GCA_902710985.2	20555528	N/A	N/A	
GCA_902711025.2	20555648	N/A	N/A	
GCA_902710975.2	20555728	N/A	N/A	
GCA_902711015.2	20555828	N/A	N/A	
GCA_902711045.2	20555958	N/A	N/A	
GCA_902711055.2	20556048	N/A	N/A	
GCA_902710955.2	20556168	N/A	N/A	
GCA_902710995.2	20556268	N/A	N/A	
GCA_902711245.2	20556398	N/A	N/A	
GCA_902710965.2	20556508	N/A	N/A	
GCA_902711005.2	20556598	N/A	N/A	
GCA_902711235.2	20556718	N/A	N/A	
GCA_902711095.2	20556858	N/A	N/A	
GCA_902711215.2	20556968	N/A	N/A	
GCA_902711125.2	20557078	N/A	N/A	
GCA_902711155.2	20557168	N/A	N/A	
GCA_902711145.2	20557298	N/A	N/A	
GCA_902711105.2	20557398	N/A	N/A	
GCA_902711185.2	20557508	N/A	N/A	
GCA_902711225.2	20557628	N/A	N/A	
GCA_902711085.2	20557748	N/A	N/A	
GCA_902711195.2	20557868	N/A	N/A	
GCA_902711165.2	20557948	N/A	N/A	
GCA_902711395.2	20558048	N/A	N/A	
GCA_902711455.2	20558158	N/A	N/A	
GCA_902711385.2	20558248	N/A	N/A	
GCA_902711335.2	20558368	N/A	N/A	
GCA_902711295.2	20558488	N/A	N/A	
GCA_902711285.2	20558568	N/A	N/A	
GCA_902711355.2	20558688	N/A	N/A	
GCA_902711365.2	20558788	N/A	N/A	
GCA_902711435.2	20558908	N/A	N/A	
GCA_902711345.2	20558998	N/A	N/A	
GCA_902711315.2	20559088	N/A	N/A	
GCA_902711415.2	20559188	N/A	N/A	
GCA_902711405.2	20559228	N/A	N/A	
GCA_902711325.2	20559298	N/A	N/A	
GCA_902711305.2	20559398	N/A	N/A	
GCA_902711425.2	20559468	N/A	N/A	
GCA_902711445.2	20559598	N/A	N/A	
GCA_902711375.2	20559718	N/A	N/A	
GCA_902711275.2	20559818	N/A	N/A	
GCA_902711465.2	20559868	N/A	N/A	
GCA_902711635.2	20559978	N/A	N/A	
GCA_902711525.2	20560088	N/A	N/A	
GCA_902711565.2	20560218	N/A	N/A	
GCA_902711625.2	20560368	N/A	N/A	
GCA_902711535.2	20560408	N/A	N/A	
GCA_902711475.2	20560518	N/A	N/A	
GCA_902711485.2	20560588	N/A	N/A	
GCA_902711575.2	20560728	N/A	N/A	
GCA_902711585.2	20560828	N/A	N/A	
GCA_902711605.2	20560918	N/A	N/A	
GCA_902711495.2	20561028	N/A	N/A	
GCA_902711615.2	20561158	N/A	N/A	
GCA_902711505.2	20561288	N/A	N/A	
GCA_902711545.2	20561388	N/A	N/A	
GCA_902711595.2	20561488	N/A	N/A	
GCA_902711515.2	20561618	N/A	N/A	
GCA_902711555.2	20561718	N/A	N/A	
GCA_902711775.2	20561778	N/A	N/A	
GCA_902711805.2	20561928	N/A	N/A	
GCA_902711665.2	20562008	N/A	N/A	
GCA_902711765.2	20562148	N/A	N/A	
GCA_902711825.2	20562258	N/A	N/A	
GCA_902711685.2	20562308	N/A	N/A	
GCA_902711675.2	20562378	N/A	N/A	
GCA_902711815.2	20562488	N/A	N/A	
GCA_902711705.2	20562608	N/A	N/A	
GCA_902711755.2	20562728	N/A	N/A	
GCA_902711795.2	20562868	N/A	N/A	
GCA_902711715.2	20562898	N/A	N/A	
GCA_902711645.2	20562968	N/A	N/A	
GCA_902711725.2	20563068	N/A	N/A	
GCA_902711745.2	20563158	N/A	N/A	
GCA_902711785.2	20563268	N/A	N/A	
GCA_902711735.2	20563388	N/A	N/A	
GCA_902711695.2	20563468	N/A	N/A	
GCA_902711655.2	20563568	N/A	N/A	
GCA_902711855.2	20563668	N/A	N/A	
GCA_902711835.2	20563718	N/A	N/A	
GCA_902711845.2	20563828	N/A	N/A	
GCA_902711865.2	20563958	N/A	N/A	
GCA_902711955.2	20564068	N/A	N/A	
GCA_902711905.2	20564188	N/A	N/A	
GCA_902711945.2	20564268	N/A	N/A	
GCA_902711895.2	20564378	N/A	N/A	
GCA_902711875.2	20564498	N/A	N/A	
GCA_902711935.2	20564558	N/A	N/A	
GCA_902711885.2	20564668	N/A	N/A	
GCA_902711925.2	20564788	N/A	N/A	
GCA_902711915.2	20564908	N/A	N/A	
